Gender,Age,CM1,CM2,CM3,PU1,PU2,PU3,PE1,PE2,PE3,SC1,SC2,SC3,CT1,CT3,CT2,CT4,CI1,CI2,CI3,CE1,CE2,CE3,L1,L2,L3,L4,L5,n1,n2,n3,n4,n5,n6,n7,n8,n9
1,1,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
2,1,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,5,4,2,5,5,5,5,5,5,5,5
2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,4,5,5,5,4,4,4,3,3,3,3,5,5,5,5,5
1,1,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,3,4,4,2,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5
2,1,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,2,5,5,5,5,5,5,5,5
1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,2,2,4,4,4,5,5,5,1,3,3,3,5,5,5,5,5
2,1,4,4,4,4,4,4,5,5,5,4,4,5,5,5,5,5,5,4,4,2,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5
2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,3,4,4,4,4,4,4,1,3,3,3,5,5,5,5,5
1,1,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,3,3,3,4,4,4,2,5,2,2,5,5,5,5,5
1,1,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,5,5,5
1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,5,5,4,3,3,2,2,5,5,5,5,5
1,2,4,4,4,4,4,4,5,4,4,4,4,5,5,4,5,4,5,5,5,5,4,5,3,5,4,4,4,2,3,3,3,5,5,5,5,5
1,1,5,3,4,3,4,3,3,4,3,4,4,5,3,3,3,4,5,4,4,4,4,3,3,4,5,5,4,1,5,2,5,5,5,5,5,5
2,1,3,5,3,3,3,3,3,3,3,3,3,4,3,5,3,3,3,5,4,4,4,5,5,3,5,5,3,3,3,3,2,5,5,5,5,5
2,1,5,3,3,3,3,3,3,5,3,3,3,4,5,3,3,5,3,4,3,4,5,5,5,5,4,4,3,5,5,1,5,5,5,5,5,5
2,1,4,4,3,4,5,5,3,5,5,3,5,5,5,4,3,5,3,3,3,3,3,4,3,3,5,5,3,4,4,4,2,5,5,5,5,5
1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,4,4,4,4,4,4,5,5,5,5,5,1,5,5,5,5,5,5
1,1,5,5,3,4,4,4,5,5,5,3,3,2,5,5,5,5,3,4,3,4,4,4,4,4,5,5,4,1,5,5,5,5,5,5,5,5
1,1,4,3,3,4,4,5,4,4,5,3,2,4,4,4,4,4,3,4,4,4,4,5,4,4,5,5,4,2,4,1,2,5,5,5,5,5
1,2,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5
1,1,3,3,3,3,5,4,3,3,4,3,2,2,3,5,3,3,3,4,4,4,4,5,4,3,5,5,5,1,4,4,4,5,5,5,5,5
1,1,2,5,2,5,5,2,5,2,5,2,2,4,5,2,5,2,2,5,5,5,5,5,4,4,5,5,5,2,2,2,2,5,5,5,5,5
1,1,4,5,4,4,5,3,4,4,4,4,4,3,4,4,4,4,5,4,3,4,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
2,2,4,2,3,3,5,4,3,4,3,3,4,3,3,5,3,4,3,3,3,3,3,5,4,4,5,5,5,5,2,1,5,5,5,5,5,5
2,1,4,4,3,4,5,4,3,3,3,3,4,3,5,5,3,3,3,4,4,4,4,4,5,4,5,5,4,4,4,1,2,5,5,5,5,5
1,1,4,3,4,4,4,4,5,4,4,4,4,5,4,4,5,4,5,3,2,4,3,3,5,3,4,4,4,4,2,4,4,5,5,5,5,5
1,1,2,5,2,5,5,2,4,5,4,2,5,2,5,4,4,5,2,3,3,1,3,4,4,4,5,5,4,4,4,4,2,5,5,5,5,5
2,2,4,3,3,3,4,3,3,5,4,3,5,3,4,3,3,5,3,4,4,4,4,4,4,4,4,4,5,5,5,2,5,5,5,5,5,5
1,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,3,5,5,4,3,4,4,4,5,2,5,5,5,5,5,5,5
2,1,4,5,4,4,5,5,5,3,4,4,4,4,4,4,5,3,5,3,2,2,3,3,4,4,4,4,3,3,3,2,2,5,5,5,5,5
1,1,4,3,3,5,4,4,5,5,5,3,4,2,4,4,5,5,3,4,3,3,4,4,3,4,5,5,4,4,2,4,4,5,5,5,5,5
2,1,3,3,4,5,3,5,3,4,3,4,4,5,3,5,3,4,5,4,5,4,4,3,4,3,5,5,4,5,5,5,2,5,5,5,5,5
1,1,2,4,3,4,3,4,4,3,3,3,3,4,3,4,4,3,3,5,5,5,5,3,5,5,5,5,5,3,3,2,3,5,5,5,5,5
2,1,2,3,4,3,2,3,1,1,1,4,2,3,1,1,1,1,5,5,5,5,5,4,4,4,2,3,4,4,2,4,4,2,2,2,2,2
2,1,5,2,5,3,5,3,5,3,4,5,5,5,3,3,5,3,5,4,4,4,3,4,4,4,4,4,5,3,3,2,2,1,1,1,1,1
1,1,4,4,3,3,4,4,4,3,4,3,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3,5,2,5,5,5,5,5,5,5
1,1,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,5,3,5,5,5,4,4,4,4,2,2,2,2,2,2
1,2,4,4,4,4,4,5,4,3,4,4,4,5,4,5,4,3,5,5,3,3,5,5,4,4,5,5,5,3,3,2,3,5,5,5,5,5
1,1,3,5,3,5,3,5,4,3,2,3,3,3,4,3,4,3,3,4,2,4,3,5,5,4,4,4,4,4,2,4,1,1,1,1,1,1
1,1,5,4,4,5,4,5,5,4,5,4,4,5,5,5,5,4,5,4,4,4,3,4,3,4,4,4,3,3,3,2,3,2,2,2,2,2
1,1,5,4,4,4,3,4,5,5,4,4,5,4,4,4,5,5,5,5,5,5,4,3,4,3,4,4,4,4,1,4,1,1,1,1,1,1
2,2,4,3,4,3,4,3,3,4,3,4,3,4,3,4,3,4,5,5,5,5,5,4,4,4,5,5,4,5,5,2,5,5,5,5,5,5
2,1,3,4,3,4,3,4,3,4,3,3,4,3,3,4,3,4,3,3,2,2,4,4,3,4,5,5,4,3,3,3,1,2,2,2,2,2
1,1,4,4,5,4,4,4,4,3,4,5,4,4,4,4,4,3,5,4,3,3,4,4,3,4,4,4,3,4,2,4,4,5,5,5,5,5
1,1,1,2,3,5,5,4,2,2,2,3,3,2,1,1,2,2,3,3,2,4,4,3,5,3,5,5,2,5,5,2,5,1,1,1,1,1
2,2,4,3,4,4,4,3,4,4,4,4,3,4,3,3,4,4,5,4,4,4,4,3,4,4,4,4,4,3,1,3,2,5,5,5,5,5
1,2,3,5,3,5,3,3,3,4,2,3,5,3,3,5,3,4,3,5,5,5,5,5,5,5,5,5,5,4,4,2,4,5,5,5,5,5
2,1,4,3,4,4,4,3,3,4,3,4,4,3,3,4,3,4,5,4,5,4,4,4,4,4,4,4,3,5,5,5,1,5,5,5,5,5
1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5,5,5,5,2,1,5,5,5,5,5
2,1,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,5,5,2,5,5,2,2,2,2,2
1,1,4,4,5,4,4,4,4,4,5,5,4,4,5,4,4,4,5,4,4,4,4,4,3,4,4,4,3,5,5,5,1,5,5,5,5,5
2,1,5,4,4,5,4,5,5,4,4,4,4,4,4,4,5,4,5,3,4,4,4,4,4,4,5,5,4,5,1,1,5,5,5,5,5,5
2,1,3,4,3,4,3,4,3,3,4,3,3,4,3,4,3,3,3,4,4,4,3,4,4,5,4,4,3,2,2,2,1,3,3,3,3,3
1,1,4,4,2,4,2,4,2,4,2,2,4,4,4,4,2,4,2,4,4,4,3,3,4,3,2,3,4,5,2,2,5,5,5,5,5,5
1,1,4,4,5,4,4,5,4,5,4,5,4,4,4,5,4,5,5,4,4,4,4,4,3,4,4,4,3,5,5,5,5,5,5,5,5,5
2,1,3,3,4,3,4,3,4,3,4,4,4,3,4,3,4,3,5,4,3,3,4,4,5,4,2,3,3,2,2,2,2,5,5,5,5,5
1,1,4,3,4,4,3,4,3,4,3,4,3,4,4,5,3,4,5,4,3,3,2,4,4,4,5,5,5,5,5,2,5,5,5,5,5,5
1,1,5,5,4,5,4,4,4,5,4,4,5,5,4,4,4,5,5,3,2,2,3,4,4,4,5,5,4,2,2,2,2,4,4,4,4,4
2,1,5,4,5,4,5,5,4,4,5,5,4,4,5,4,4,4,5,4,4,5,3,5,4,4,4,4,4,5,5,2,2,5,5,5,5,5
2,1,3,4,3,5,4,3,4,3,4,3,2,4,3,4,4,3,3,3,4,3,4,4,3,4,5,5,4,2,2,2,2,5,5,5,5,4
1,1,5,4,4,3,5,5,3,5,5,4,4,5,3,5,3,5,5,4,4,4,3,5,4,4,2,3,4,5,5,2,1,5,5,5,5,5
2,1,5,5,4,4,3,4,4,4,5,4,5,4,5,4,4,4,5,4,3,4,4,4,5,4,5,5,3,2,2,2,2,5,5,5,5,5
1,1,3,2,3,2,4,2,3,4,4,3,3,4,4,4,3,4,3,1,2,1,1,3,4,4,4,4,4,5,5,5,1,4,4,4,4,4
1,2,5,5,4,5,4,5,4,5,4,4,5,4,4,4,4,5,5,4,3,2,4,4,3,3,5,5,2,1,1,1,1,4,4,4,4,4
1,1,5,5,4,5,5,5,3,5,4,4,5,4,2,5,3,5,5,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5
1,1,4,3,4,3,5,3,4,3,3,4,5,3,4,3,4,3,5,3,4,1,2,4,3,3,4,4,4,2,2,2,1,5,5,5,5,5
1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,1,1,1,1,5,5,5,5,5
2,2,3,4,3,4,3,5,5,3,5,3,2,5,5,3,5,3,3,4,3,4,4,3,5,3,4,4,3,5,5,5,5,5,5,5,5,5
2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,3,4,4,4,5,5,4,2,2,2,2,5,5,5,5,5
1,2,4,3,5,3,3,5,5,3,5,5,4,3,5,3,5,3,5,4,5,4,4,3,3,5,4,4,5,1,1,1,1,5,5,5,5,5
1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,3,2,2,2,2,5,5,5,5,5
1,1,4,2,3,2,3,2,4,4,4,3,2,4,4,4,4,4,3,3,2,3,2,4,4,4,4,4,4,1,1,1,1,5,5,5,5,5
1,1,4,2,4,3,3,4,2,4,2,4,5,2,3,4,2,4,5,4,4,4,4,3,5,3,5,5,3,2,2,2,1,5,5,5,5,5
2,2,5,5,5,4,4,5,5,5,4,5,4,5,3,4,5,5,5,5,3,3,5,4,3,4,5,5,4,1,1,1,1,5,5,5,5,5
2,1,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4,5,5,5,1,5,5,5,5,5
1,2,5,5,4,3,5,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,5,4,4,4,4,2,2,2,2,5,5,5,5,5
1,1,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,4,4,5,5,5,1,1,1,1,5,5,5,5,5
1,1,4,3,2,4,3,3,4,5,3,2,4,3,5,3,4,5,2,5,4,4,4,4,3,4,2,3,4,2,2,2,1,5,5,5,5,5
1,1,3,2,3,2,3,2,3,3,3,3,4,4,3,3,3,3,3,4,4,4,3,3,4,4,5,5,3,1,1,1,1,5,5,5,5,5
2,2,1,2,2,2,1,3,3,2,1,2,5,5,1,2,3,2,2,4,4,4,4,4,1,4,2,3,2,5,5,5,2,5,5,5,5,5
2,1,4,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,3,3,3,4,5,4,4,4,4,5,2,2,2,2,5,5,5,5,5
1,1,3,5,3,5,3,3,5,3,2,3,4,4,2,3,5,3,3,3,4,4,2,3,4,4,4,4,3,1,1,1,2,5,5,5,5,5
1,1,4,4,4,4,5,4,5,4,4,4,4,5,4,4,5,4,5,4,4,4,4,4,4,3,4,4,4,2,2,2,2,5,5,5,5,5
2,2,4,2,4,3,3,3,4,2,4,4,4,4,3,2,4,2,5,2,4,2,2,3,3,3,5,5,3,1,1,1,2,5,5,5,5,5
1,2,4,4,5,4,4,5,4,3,4,5,5,5,4,4,4,3,5,4,4,2,4,3,5,4,5,5,3,2,2,2,2,5,5,5,5,5
2,1,4,4,5,5,4,4,4,4,3,5,4,4,4,5,4,4,5,4,4,5,3,3,4,4,4,4,3,5,5,5,5,5,5,5,5,5
1,1,5,4,4,5,4,4,5,4,4,4,5,5,5,4,5,4,5,4,4,4,4,4,5,3,4,4,4,1,1,1,1,5,5,5,5,5
2,1,4,3,3,3,4,4,4,4,3,3,5,5,3,4,4,4,3,3,4,3,3,4,4,3,5,5,2,2,2,2,2,5,5,5,5,5
1,1,1,1,1,4,5,5,1,1,1,3,3,4,1,1,1,1,3,4,4,4,4,4,1,4,5,5,2,1,1,1,1,5,5,5,5,5
2,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5
2,1,4,4,4,3,4,5,3,4,4,4,4,5,4,4,3,4,5,5,5,5,4,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5
1,1,2,5,1,4,3,4,3,5,1,4,5,5,2,4,3,5,5,4,4,4,4,1,5,1,5,5,1,5,5,5,5,5,5,5,5,5
1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
2,1,4,4,4,5,3,4,4,4,4,4,3,3,3,4,4,4,5,4,3,4,5,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5
1,1,4,3,4,3,3,3,3,3,4,4,4,4,3,4,3,3,5,3,3,3,3,3,3,4,2,3,3,5,5,5,5,5,5,5,4,5
1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,1,3,4,3,4,3,3,4,3,4,3,3,4,3,4,4,3,3,4,3,4,4,3,3,3,5,5,3,4,4,4,4,5,5,5,5,5
2,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,3,3,4,3,4,3,4,3,3,4,4,3,3,3,4,3,5,5,5,4,4,3,4,3,5,5,3,4,4,4,4,5,5,5,4,5
2,1,4,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,2,3,4,5,5,5,5,5,5,5,5,5
1,1,2,2,2,3,2,2,3,3,2,2,2,2,4,3,3,3,2,5,5,5,5,4,3,3,5,5,2,4,4,4,4,5,5,5,3,5
1,1,4,3,3,3,3,3,3,4,3,3,3,4,3,4,3,4,3,4,3,4,2,3,4,3,4,4,3,5,5,5,5,5,5,5,5,5
2,1,3,4,3,4,3,4,4,3,4,3,3,4,4,3,4,3,3,3,3,3,3,4,3,4,5,5,4,4,4,4,4,5,5,5,5,5
2,1,3,4,3,3,4,3,3,4,3,3,3,3,3,4,3,4,3,4,4,4,4,3,3,3,5,5,3,4,4,4,4,5,5,5,4,5
1,1,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,5,3,2,4,3,4,3,4,4,4,4,4,4,4,4,5,5,5,5,5
2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5
2,1,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5
2,1,4,3,3,3,3,4,4,4,3,3,4,4,4,4,4,4,1,5,5,4,3,4,5,4,2,3,4,4,5,4,3,5,5,5,3,5
